RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31
394556,566,"Edwards, CO",msa,CO,646923.0,663524.0,680854.0,658444.0,643199.0,616810.0,598544.0,625427.0,672447.0,676634.0,668909.0,673139.0,699052.0,697539.0,673032.0,645237.0,663147.0,665963.0,690345.0,661757.0,671620.0,739112.0,754307.0,772127.0,760124.0,878850.0,903437.0,901248.0,835821.0,857828.0,892981.0,943583.0,962601.0,922085.0,854804.0,843628.0,849501.0,855167.0,887303.0,956215.0,1004101.0,942115.0,962600.0,968087.0,1022856.0,1011784.0,1028700.0,1024174.0,994843.0,977723.0,1018289.0,1051899.0,1038025.0,1012112.0,990013.0,1086536.0,1216537.0,1246286.0,1180868.0,1101717.0,1189784.0,1378134.0,1433195.0,1495194.0,1366089.0,1384023.0
394547,567,"Durango, CO",msa,CO,385459.0,395660.0,396998.0,405319.0,403136.0,401190.0,372394.0,353848.0,345655.0,361519.0,369090.0,376541.0,380842.0,393924.0,399263.0,389323.0,390797.0,394656.0,394577.0,410693.0,412419.0,410898.0,391174.0,388479.0,410840.0,422847.0,433899.0,444200.0,452146.0,467051.0,448342.0,447451.0,431486.0,441664.0,457034.0,475823.0,476745.0,482189.0,475120.0,511595.0,507483.0,510451.0,503975.0,496957.0,514469.0,523879.0,538779.0,530259.0,525552.0,535756.0,555463.0,552797.0,554249.0,525441.0,500215.0,509232.0,545163.0,582721.0,612699.0,604134.0,625778.0,606533.0,635524.0,651228.0,665982.0,646920.0
394750,568,"Kinston, NC",msa,NC,89901.0,90440.0,88881.0,81831.0,89479.0,91940.0,95958.0,91609.0,96829.0,100629.0,95548.0,93722.0,84453.0,85411.0,83142.0,89444.0,90831.0,95204.0,94382.0,82683.0,88555.0,89282.0,103416.0,89357.0,95317.0,96091.0,105930.0,105825.0,110958.0,114806.0,124546.0,125425.0,126646.0,125840.0,121751.0,118979.0,118260.0,125237.0,131912.0,124765.0,129567.0,134962.0,147684.0,144604.0,141659.0,141739.0,155153.0,160362.0,159570.0,140375.0,137337.0,141434.0,129375.0,128777.0,128219.0,146681.0,135863.0,136087.0,124284.0,134800.0,122739.0,130430.0,125359.0,112196.0,102959.0,105806.0
753920,569,"Sonora, CA",msa,CA,299405.0,294192.0,295873.0,283127.0,276373.0,269383.0,268697.0,284186.0,282543.0,287943.0,280556.0,279817.0,273054.0,284703.0,289057.0,285460.0,278429.0,281491.0,295579.0,293021.0,289473.0,282970.0,277704.0,284483.0,286746.0,303679.0,314915.0,331352.0,329798.0,330244.0,340537.0,356080.0,365236.0,379305.0,394935.0,404762.0,400545.0,394496.0,395672.0,404949.0,412508.0,418209.0,423623.0,434888.0,441251.0,444007.0,436148.0,434327.0,426518.0,417634.0,404663.0,395780.0,406973.0,409027.0,405914.0,390651.0,394940.0,397338.0,402760.0,410295.0,410688.0,405439.0,395777.0,393338.0,397833.0,386550.0
395157,570,"Tiffin, OH",msa,OH,82468.0,83570.0,84659.0,80705.0,78963.0,79844.0,89556.0,94495.0,93904.0,92823.0,87546.0,81814.0,81523.0,88354.0,93317.0,87105.0,82945.0,87128.0,90083.0,92299.0,90248.0,93161.0,91031.0,88961.0,90206.0,88960.0,95901.0,102193.0,109401.0,100735.0,106645.0,113520.0,118338.0,119453.0,116366.0,129578.0,127397.0,122703.0,124640.0,117983.0,116933.0,118229.0,130031.0,132548.0,131723.0,125985.0,134093.0,130655.0,135809.0,137363.0,135894.0,131973.0,125482.0,124903.0,131293.0,125757.0,124232.0,120431.0,122449.0,130945.0,134455.0,157432.0,148437.0,149194.0,136131.0,145415.0
394566,573,"Elko, NV",msa,NV,228259.0,230401.0,231362.0,231413.0,234587.0,244810.0,250871.0,245399.0,242224.0,244938.0,246149.0,238911.0,239919.0,241838.0,246682.0,245011.0,248062.0,257662.0,261682.0,257844.0,250108.0,247485.0,249331.0,249980.0,247562.0,250745.0,257472.0,265935.0,264843.0,262869.0,261592.0,264255.0,266787.0,270123.0,279061.0,289005.0,288938.0,289173.0,300812.0,315867.0,319123.0,307450.0,304001.0,306048.0,309227.0,310464.0,315171.0,323387.0,318160.0,320572.0,314570.0,311500.0,303065.0,312826.0,299000.0,294637.0,272105.0,302539.0,307249.0,321090.0,304799.0,314755.0,313408.0,326506.0,315103.0,302345.0
394517,574,"Danville, KY",msa,KY,124010.0,116976.0,120658.0,122897.0,126616.0,121614.0,118130.0,117553.0,119218.0,115399.0,123401.0,121209.0,122218.0,114285.0,127961.0,133164.0,133352.0,129222.0,134204.0,135309.0,136963.0,133639.0,135220.0,133602.0,136944.0,142446.0,146230.0,143934.0,148974.0,156130.0,162482.0,160284.0,151261.0,152912.0,155538.0,161702.0,163568.0,165957.0,174778.0,183479.0,182989.0,182353.0,181121.0,179257.0,177892.0,176392.0,191446.0,194291.0,195008.0,187449.0,185359.0,188840.0,187139.0,193990.0,189948.0,186139.0,183214.0,187504.0,190324.0,201683.0,190585.0,196946.0,185077.0,195469.0,197986.0,196996.0
395122,576,"St. Marys, GA",msa,GA,162770.0,159084.0,153028.0,151832.0,159435.0,163163.0,172816.0,173263.0,175671.0,170070.0,166962.0,173301.0,169970.0,172033.0,168588.0,176101.0,176393.0,177546.0,176819.0,175279.0,172171.0,174307.0,178363.0,192006.0,195030.0,199756.0,199789.0,197655.0,197691.0,197338.0,211746.0,214918.0,211402.0,203840.0,204429.0,217434.0,223311.0,227790.0,228725.0,228932.0,231021.0,235575.0,237388.0,241905.0,241014.0,246033.0,254832.0,255383.0,253543.0,250914.0,246381.0,255172.0,250544.0,272875.0,269564.0,277737.0,266940.0,274739.0,273633.0,280717.0,280183.0,281799.0,276492.0,267870.0,270615.0,265904.0
394402,577,"Boone, NC",msa,NC,256950.0,254194.0,248698.0,242437.0,242155.0,230161.0,239068.0,249945.0,267108.0,261973.0,267590.0,273403.0,268794.0,266941.0,267520.0,273744.0,277215.0,282542.0,294789.0,284680.0,280648.0,268444.0,278110.0,282305.0,310534.0,326673.0,328876.0,324019.0,329118.0,341781.0,363539.0,361799.0,365811.0,347892.0,345068.0,348598.0,342021.0,350827.0,354157.0,364779.0,363264.0,361817.0,361423.0,360541.0,368918.0,385851.0,402475.0,403547.0,391793.0,406234.0,411515.0,436562.0,414530.0,410226.0,386485.0,377044.0,373295.0,413060.0,452132.0,453589.0,445355.0,435377.0,456455.0,458891.0,453452.0,458063.0
395204,578,"Warrensburg, MO",msa,MO,156741.0,160344.0,166314.0,172179.0,166675.0,166674.0,164312.0,172458.0,167120.0,166942.0,169598.0,173364.0,172575.0,171209.0,175742.0,180201.0,181157.0,180938.0,180620.0,184808.0,187484.0,184707.0,179191.0,180027.0,185929.0,189421.0,188922.0,195736.0,205936.0,210546.0,209590.0,206059.0,203008.0,207718.0,218454.0,224981.0,224301.0,210007.0,207688.0,201311.0,211331.0,219832.0,226608.0,226274.0,227327.0,232511.0,236671.0,222369.0,224134.0,221185.0,239045.0,238148.0,242624.0,243207.0,245846.0,240052.0,241170.0,247160.0,259336.0,256916.0,248326.0,248969.0,242036.0,253362.0,241884.0,252012.0
