AL,1984,2,120.03
AL,1984,3,124.64
AL,1984,4,121.05
AL,1985,1,121.24
AL,1985,2,124.41
AL,1985,3,127.18
AL,1985,4,127.99
AL,1986,1,129.33
AL,1986,2,131.69
AL,1986,3,133.16
AL,1986,4,135.75
AL,1987,1,137.87
AL,1987,2,138.92
AL,1987,3,139.49
AL,1987,4,138.14
AL,1988,1,141.78
AL,1988,2,142.86
AL,1988,3,142.51
AL,1988,4,141.09
AL,1989,1,141.31
AL,1989,2,143.18
AL,1989,3,145.33
AL,1989,4,146.39
AL,1990,1,145.29
AL,1990,2,146.48
AL,1990,3,147.12
AL,1990,4,147.24
AL,1991,1,148.52
AL,1991,2,150.70
AL,1991,3,151.54
AL,1991,4,154.01
AL,1992,1,155.27
AL,1992,2,155.43
AL,1992,3,158.39
AL,1992,4,159.73
AL,1993,1,160.80
AL,1993,2,162.55
AL,1993,3,165.45
AL,1993,4,166.90
AL,1994,1,167.98
AL,1994,2,170.03
AL,1994,3,170.73
AL,1994,4,170.86
AL,1995,1,172.42
AL,1995,2,175.87
AL,1995,3,178.64
AL,1995,4,180.00
AL,1996,1,183.17
AL,1996,2,183.15
AL,1996,3,183.51
AL,1996,4,185.67
AL,1997,1,187.79
AL,1997,2,189.01
AL,1997,3,191.91
AL,1997,4,194.40
AL,1998,1,197.63
AL,1998,2,199.17
AL,1998,3,201.33
AL,1998,4,203.82
AL,1999,1,204.47
AL,1999,2,205.29
AL,1999,3,205.65
AL,1999,4,207.29
AL,2000,1,208.04
AL,2000,2,209.75
AL,2000,3,211.41
AL,2000,4,214.11
AL,2001,1,220.34
AL,2001,2,221.27
AL,2001,3,222.86
AL,2001,4,225.38
AL,2002,1,225.76
AL,2002,2,226.92
AL,2002,3,230.29
AL,2002,4,232.97
AL,2003,1,235.35
AL,2003,2,237.43
AL,2003,3,239.03
AL,2003,4,240.60
AL,2004,1,242.85
AL,2004,2,244.40
AL,2004,3,248.89
AL,2004,4,252.57
AL,2005,1,255.86
AL,2005,2,261.98
AL,2005,3,267.52
AL,2005,4,272.98
AL,2006,1,278.41
AL,2006,2,283.03
AL,2006,3,287.58
AL,2006,4,293.09
AL,2007,1,295.02
AL,2007,2,299.10
AL,2007,3,299.84
AL,2007,4,302.11
AL,2008,1,304.04
AL,2008,2,302.82
AL,2008,3,300.56
AL,2008,4,302.10
AL,2009,1,304.29
AL,2009,2,301.00
AL,2009,3,293.88
AL,2009,4,292.95
AL,2010,1,288.75
AL,2010,2,284.41
AL,2010,3,288.27
AL,2010,4,285.85
AL,2011,1,278.38
AL,2011,2,274.68
AL,2011,3,276.81
AL,2011,4,278.93
AL,2012,1,276.02
AL,2012,2,274.12
AL,2012,3,276.04
AL,2012,4,276.54
AL,2013,1,273.75
AL,2013,2,274.41
AL,2013,3,273.82
AL,2013,4,272.77
AL,2014,1,274.46
AL,2014,2,275.17
AL,2014,3,278.23
AL,2014,4,279.57
AL,2015,1,282.54
AL,2015,2,283.28
AL,2015,3,285.06
AL,2015,4,286.88
AL,2016,1,287.59
AL,2016,2,291.66
AL,2016,3,296.17
AL,2016,4,295.20
AL,2017,1,296.78
AL,2017,2,300.42
AL,2017,3,303.33
AL,2017,4,305.18
AL,2018,1,308.63
AL,2018,2,313.19
AL,2018,3,316.28
