State,Year,Quarter,Median_Home_Price,Mortgage_rate,Monthly_loan_payment,Minimum_income_needed_monthly,Minimum_income_needed_yearly
AL,2018,3,133090.5,4.566923076923077,679.6525588597905,2265.508529532635,27186.102354391616
AR,2018,3,123858.75,4.566923076923077,632.5088295158188,2108.362765052729,25300.353180632752
AZ,2018,3,198970.5,4.566923076923077,1016.0816096010755,3386.9386986702516,40643.26438404302
CA,2018,3,358500.0,4.566923076923077,1830.7500712014373,6102.500237338125,73230.0028480575
CO,2018,3,385509.0,4.566923076923077,1968.6767899547974,6562.2559665159915,78747.07159819189
CT,2018,3,231250.0,4.566923076923077,1180.9231630832144,3936.4105436107147,47236.92652332858
DE,2018,3,214333.0,4.566923076923077,1094.5332078404954,3648.4440261349846,43781.328313619815
FL,2018,3,206455.5,4.566923076923077,1054.3052198742769,3514.3507329142562,42172.20879497108
GA,2018,3,144606.0,4.566923076923077,738.4587023602651,2461.5290078675503,29538.348094410605
HI,2018,3,659082.75,4.566923076923077,3365.7344253560364,11219.114751186788,134629.37701424144
IA,2018,3,139881.5,4.566923076923077,714.3321229700525,2381.107076566842,28573.284918802103
ID,2018,3,206669.0,4.566923076923077,1055.395499205383,3517.984997351277,42215.81996821532
IL,2018,3,118160.0,4.566923076923077,603.4070527563788,2011.3568425212627,24136.282110255153
IN,2018,3,137573.0,4.566923076923077,702.5433181182575,2341.811060394192,28101.732724730304
KS,2018,3,172120.0,4.566923076923077,878.9643019670609,2929.88100655687,35158.57207868244
KY,2018,3,138917.0,4.566923076923077,709.4067158747282,2364.689052915761,28376.26863498913
LA,2018,3,162767.25,4.566923076923077,831.2026625572165,2770.6755418573885,33248.10650228866
MA,2018,3,262398.0,4.566923076923077,1339.9864914452294,4466.621638150765,53599.45965780917
MD,2018,3,220132.25,4.566923076923077,1124.1482074232429,3747.1606914108097,44965.92829692972
ME,2018,3,161243.25,4.566923076923077,823.4200597440756,2744.733532480252,32936.80238976303
MI,2018,3,133722.25,4.566923076923077,682.8787132739648,2276.2623775798825,27315.14853095859
MN,2018,3,190186.0,4.566923076923077,971.2218494881912,3237.4061649606374,38848.87397952765
MO,2018,3,140623.5,4.566923076923077,718.1212904814373,2393.7376349381243,28724.85161925749
MS,2018,3,158198.75,4.566923076923077,807.8727275494515,2692.909091831505,32314.90910197806
MT,2018,3,272364.0,4.566923076923077,1390.8798114162016,4636.266038054006,55635.19245664807
NC,2018,3,150215.25,4.566923076923077,767.1034299387495,2557.011433129165,30684.137197549982
ND,2018,3,232382.5,4.566923076923077,1186.7064948980976,3955.688316326992,47468.25979592391
NE,2018,3,171934.0,4.566923076923077,878.0144567418351,2926.714855806117,35120.57826967341
NH,2018,3,248708.0,4.566923076923077,1270.075840190703,4233.58613396901,50803.033607628124
NJ,2018,3,207706.75,4.566923076923077,1060.6949716918245,3535.6499056394155,42427.79886767299
NM,2018,3,183519.0,4.566923076923077,937.1755155280797,3123.918385093599,37487.02062112319
NV,2018,3,275835.5,4.566923076923077,1408.6077022730376,4695.3590075767925,56344.308090921506
NY,2018,3,137799.5,4.566923076923077,703.6999844812342,2345.6666149374473,28147.99937924937
OH,2018,3,112711.0,4.566923076923077,575.5806730130688,1918.602243376896,23023.226920522753
OK,2018,3,114610.5,4.566923076923077,585.2808397083189,1950.936132361063,23411.233588332758
OR,2018,3,280452.5,4.566923076923077,1432.1853119766279,4773.9510399220935,57287.412479065126
PA,2018,3,143335.5,4.566923076923077,731.9706466686014,2439.9021555620047,29278.825866744057
RI,2018,3,273728.5,4.566923076923077,1397.8478964152373,4659.492988050792,55913.9158566095
SC,2018,3,152916.0,4.566923076923077,780.8953358098717,2602.984452699572,31235.813432394865
SD,2018,3,210038.5,4.566923076923077,1072.6025071967729,3575.3416906559096,42904.10028787091
TN,2018,3,147173.5,4.566923076923077,751.5701411547133,2505.2338038490443,30062.80564618853
TX,2018,3,176263.0,4.566923076923077,900.1213383547529,3000.4044611825097,36004.853534190115
USA,2018,3,227030.5,4.566923076923077,1159.3754645464376,3864.5848818214586,46375.018581857505
UT,2018,3,310094.5,4.566923076923077,1583.557958031169,5278.526526770564,63342.31832124676
VA,2018,3,179034.5,4.566923076923077,914.274542880094,3047.5818096003136,36570.981715203765
VT,2018,3,213650.75,4.566923076923077,1091.0491653409774,3636.8305511365916,43641.9666136391
WA,2018,3,277188.25,4.566923076923077,1415.515783608652,4718.3859453621735,56620.63134434608
WI,2018,3,163061.5,4.566923076923077,832.7053074901343,2775.6843583004475,33308.212299605366
WV,2018,3,116008.0,4.566923076923077,592.417445634411,1974.7248187813702,23696.697825376443
WY,2018,3,219881.5,4.566923076923077,1122.8677037123537,3742.892345707846,44914.70814849415
AL,2018,4,138929.16666666666,4.7846153846153845,727.6218258867218,2425.406086289073,29104.873035468874
AR,2018,4,129904.66666666669,4.7846153846153845,680.3572857958023,2267.857619319341,27214.291431832095
AZ,2018,4,204086.8333333333,4.7846153846153845,1068.8758730247841,3562.9195767492806,42755.03492099137
CA,2018,4,355223.8333333333,4.7846153846153845,1860.4344962971338,6201.4483209904465,74417.37985188536
CO,2018,4,383062.6666666667,4.7846153846153845,2006.2364414650394,6687.454804883465,80249.45765860158
CT,2018,4,231454.66666666663,4.7846153846153845,1212.2110224275145,4040.703408091715,48488.44089710058
DE,2018,4,215216.3333333333,4.7846153846153845,1127.1650523634612,3757.2168412115375,45086.60209453845
FL,2018,4,208953.0,4.7846153846153845,1094.3617314663338,3647.872438221113,43774.46925865336
GA,2018,4,143306.0,4.7846153846153845,750.5448703273676,2501.816234424559,30021.794813094704
HI,2018,4,674926.3333333334,4.7846153846153845,3534.831042190783,11782.770140635945,141393.24168763135
IA,2018,4,141081.0,4.7846153846153845,738.8917480821134,2462.9724936070447,29555.669923284535
ID,2018,4,209494.5,4.7846153846153845,1097.1977609925384,3657.325869975128,43887.91043970154
IL,2018,4,115976.66666666669,4.7846153846153845,607.4113592196676,2024.7045307322253,24296.454368786704
IN,2018,4,137308.33333333334,4.7846153846153845,719.1329409552541,2397.1098031841802,28765.317638210163
KS,2018,4,177346.0,4.7846153846153845,928.824547283975,3096.081824279917,37152.981891359
KY,2018,4,138833.0,4.7846153846153845,727.1181665956724,2423.727221985575,29084.7266638269
LA,2018,4,165133.5,4.7846153846153845,864.863308892889,2882.87769630963,34594.532355715564
MA,2018,4,261511.0,4.7846153846153845,1369.6268096533308,4565.422698844436,54785.07238613324
MD,2018,4,222911.3333333333,4.7846153846153845,1167.4665245779468,3891.5550819264895,46698.66098311787
ME,2018,4,159351.83333333334,4.7846153846153845,834.5826489162697,2781.9421630542324,33383.30595665079
MI,2018,4,131358.33333333334,4.7846153846153845,687.970658996035,2293.2355299867836,27518.826359841405
MN,2018,4,190437.0,4.7846153846153845,997.3868049525692,3324.6226831752306,39895.47219810277
MO,2018,4,139210.66666666666,4.7846153846153845,729.0961422516832,2430.3204741722775,29163.84569006733
MS,2018,4,158970.16666666666,4.7846153846153845,832.5837238270088,2775.279079423363,33303.348953080356
MT,2018,4,274912.1666666667,4.7846153846153845,1439.8135212918442,4799.378404306148,57592.54085167377
NC,2018,4,153339.5,4.7846153846153845,803.0939049555733,2676.9796831852445,32123.756198222934
ND,2018,4,223545.0,4.7846153846153845,1170.7852639619512,3902.6175465398373,46831.41055847805
NE,2018,4,173010.66666666666,4.7846153846153845,906.118853213297,3020.396177377657,36244.75412853188
NH,2018,4,248184.66666666663,4.7846153846153845,1299.8320269952007,4332.773423317336,51993.28107980803
NJ,2018,4,203061.5,4.7846153846153845,1063.5058349683945,3545.0194498946485,42540.233398735785
NM,2018,4,177583.66666666666,4.7846153846153845,930.0692927762395,3100.2309759207988,37202.77171104959
NV,2018,4,279931.3333333333,4.7846153846153845,1466.1006955552018,4887.0023185173395,58644.027822208074
